component_id_dec,component_id_hex,graphics_bank,source_addr,top_row_bytes,bottom_row_bytes,nonzero_bytes,referenced_by_gobj_metadata,example_gobj_ids,replacement_risk
249,$0F9,$88,$88EE40,$88EE40-$88EE7F,$88F040-$88F07F,60,22,$003C $003C $0057 $0057,used
250,$0FA,$88,$88EE80,$88EE80-$88EEBF,$88F080-$88F0BF,60,24,$0057 $0057 $0057 $0057,used
251,$0FB,$88,$88EEC0,$88EEC0-$88EEFF,$88F0C0-$88F0FF,61,18,$0040 $005A $005C $005E,used
252,$0FC,$88,$88EF00,$88EF00-$88EF3F,$88F100-$88F13F,60,19,$0040 $005A $005A $005A,used
253,$0FD,$88,$88EF40,$88EF40-$88EF7F,$88F140-$88F17F,59,11,$005B $005D $005F $005F,used
254,$0FE,$88,$88EF80,$88EF80-$88EFBF,$88F180-$88F1BF,59,25,$005B $005B $005B $005B,used
255,$0FF,$88,$88EFC0,$88EFC0-$88EFFF,$88F1C0-$88F1FF,33,13,$005B $005B $005B $005B,used
256,$100,$89,$898000,$898000-$89803F,$898200-$89823F,32,0,,unknown
257,$101,$89,$898040,$898040-$89807F,$898240-$89827F,17,0,,unknown
258,$102,$89,$898080,$898080-$8980BF,$898280-$8982BF,61,0,,unknown
259,$103,$89,$8980C0,$8980C0-$8980FF,$8982C0-$8982FF,50,0,,unknown
260,$104,$89,$898100,$898100-$89813F,$898300-$89833F,41,0,,unknown
261,$105,$89,$898140,$898140-$89817F,$898340-$89837F,50,0,,unknown
262,$106,$89,$898180,$898180-$8981BF,$898380-$8983BF,53,0,,unknown
263,$107,$89,$8981C0,$8981C0-$8981FF,$8983C0-$8983FF,47,0,,unknown
264,$108,$89,$898200,$898200-$89823F,$898400-$89843F,95,0,,unknown
265,$109,$89,$898240,$898240-$89827F,$898440-$89847F,48,0,,unknown
266,$10A,$89,$898280,$898280-$8982BF,$898480-$8984BF,114,0,,unknown
267,$10B,$89,$8982C0,$8982C0-$8982FF,$8984C0-$8984FF,84,0,,unknown
268,$10C,$89,$898300,$898300-$89833F,$898500-$89853F,62,0,,unknown
269,$10D,$89,$898340,$898340-$89837F,$898540-$89857F,101,0,,unknown
270,$10E,$89,$898380,$898380-$8983BF,$898580-$8985BF,71,0,,unknown
271,$10F,$89,$8983C0,$8983C0-$8983FF,$8985C0-$8985FF,94,0,,unknown
272,$110,$89,$898400,$898400-$89843F,$898600-$89863F,94,0,,unknown
273,$111,$89,$898440,$898440-$89847F,$898640-$89867F,61,0,,unknown
274,$112,$89,$898480,$898480-$8984BF,$898680-$8986BF,86,0,,unknown
275,$113,$89,$8984C0,$8984C0-$8984FF,$8986C0-$8986FF,73,0,,unknown
276,$114,$89,$898500,$898500-$89853F,$898700-$89873F,32,0,,unknown
277,$115,$89,$898540,$898540-$89857F,$898740-$89877F,80,0,,unknown
278,$116,$89,$898580,$898580-$8985BF,$898780-$8987BF,32,0,,unknown
279,$117,$89,$8985C0,$8985C0-$8985FF,$8987C0-$8987FF,76,0,,unknown
280,$118,$89,$898600,$898600-$89863F,$898800-$89883F,31,0,,unknown
281,$119,$89,$898640,$898640-$89867F,$898840-$89887F,30,0,,unknown
282,$11A,$89,$898680,$898680-$8986BF,$898880-$8988BF,22,0,,unknown
283,$11B,$89,$8986C0,$8986C0-$8986FF,$8988C0-$8988FF,28,0,,unknown
284,$11C,$89,$898700,$898700-$89873F,$898900-$89893F,0,0,,lower_candidate
285,$11D,$89,$898740,$898740-$89877F,$898940-$89897F,18,0,,unknown
286,$11E,$89,$898780,$898780-$8987BF,$898980-$8989BF,0,0,,lower_candidate
287,$11F,$89,$8987C0,$8987C0-$8987FF,$8989C0-$8989FF,15,0,,unknown
288,$120,$89,$898800,$898800-$89883F,$898A00-$898A3F,21,0,,unknown
289,$121,$89,$898840,$898840-$89887F,$898A40-$898A7F,21,0,,unknown
290,$122,$89,$898880,$898880-$8988BF,$898A80-$898ABF,46,0,,unknown
291,$123,$89,$8988C0,$8988C0-$8988FF,$898AC0-$898AFF,35,0,,unknown
292,$124,$89,$898900,$898900-$89893F,$898B00-$898B3F,28,0,,unknown
293,$125,$89,$898940,$898940-$89897F,$898B40-$898B7F,32,0,,unknown
294,$126,$89,$898980,$898980-$8989BF,$898B80-$898BBF,25,0,,unknown
295,$127,$89,$8989C0,$8989C0-$8989FF,$898BC0-$898BFF,28,0,,unknown
296,$128,$89,$898A00,$898A00-$898A3F,$898C00-$898C3F,55,0,,unknown
297,$129,$89,$898A40,$898A40-$898A7F,$898C40-$898C7F,69,0,,unknown
298,$12A,$89,$898A80,$898A80-$898ABF,$898C80-$898CBF,107,0,,unknown
299,$12B,$89,$898AC0,$898AC0-$898AFF,$898CC0-$898CFF,71,0,,unknown
300,$12C,$89,$898B00,$898B00-$898B3F,$898D00-$898D3F,90,0,,unknown
301,$12D,$89,$898B40,$898B40-$898B7F,$898D40-$898D7F,77,0,,unknown
302,$12E,$89,$898B80,$898B80-$898BBF,$898D80-$898DBF,85,0,,unknown
303,$12F,$89,$898BC0,$898BC0-$898BFF,$898DC0-$898DFF,69,0,,unknown
304,$130,$89,$898C00,$898C00-$898C3F,$898E00-$898E3F,64,0,,unknown
305,$131,$89,$898C40,$898C40-$898C7F,$898E40-$898E7F,103,0,,unknown
306,$132,$89,$898C80,$898C80-$898CBF,$898E80-$898EBF,100,0,,unknown
307,$133,$89,$898CC0,$898CC0-$898CFF,$898EC0-$898EFF,61,0,,unknown
308,$134,$89,$898D00,$898D00-$898D3F,$898F00-$898F3F,107,0,,unknown
309,$135,$89,$898D40,$898D40-$898D7F,$898F40-$898F7F,71,0,,unknown
310,$136,$89,$898D80,$898D80-$898DBF,$898F80-$898FBF,109,0,,unknown
311,$137,$89,$898DC0,$898DC0-$898DFF,$898FC0-$898FFF,67,0,,unknown
312,$138,$89,$898E00,$898E00-$898E3F,$899000-$89903F,30,0,,unknown
313,$139,$89,$898E40,$898E40-$898E7F,$899040-$89907F,55,0,,unknown
314,$13A,$89,$898E80,$898E80-$898EBF,$899080-$8990BF,39,0,,unknown
315,$13B,$89,$898EC0,$898EC0-$898EFF,$8990C0-$8990FF,25,0,,unknown
316,$13C,$89,$898F00,$898F00-$898F3F,$899100-$89913F,45,0,,unknown
317,$13D,$89,$898F40,$898F40-$898F7F,$899140-$89917F,26,0,,unknown
318,$13E,$89,$898F80,$898F80-$898FBF,$899180-$8991BF,49,0,,unknown
319,$13F,$89,$898FC0,$898FC0-$898FFF,$8991C0-$8991FF,26,0,,unknown
320,$140,$89,$89A000,$89A000-$89A03F,$89A200-$89A23F,57,0,,unknown
321,$141,$89,$89A040,$89A040-$89A07F,$89A240-$89A27F,51,0,,unknown
322,$142,$89,$89A080,$89A080-$89A0BF,$89A280-$89A2BF,30,0,,unknown
323,$143,$89,$89A0C0,$89A0C0-$89A0FF,$89A2C0-$89A2FF,25,0,,unknown
324,$144,$89,$89A100,$89A100-$89A13F,$89A300-$89A33F,82,0,,unknown
325,$145,$89,$89A140,$89A140-$89A17F,$89A340-$89A37F,70,0,,unknown
326,$146,$89,$89A180,$89A180-$89A1BF,$89A380-$89A3BF,35,0,,unknown
327,$147,$89,$89A1C0,$89A1C0-$89A1FF,$89A3C0-$89A3FF,33,0,,unknown
328,$148,$89,$89A200,$89A200-$89A23F,$89A400-$89A43F,119,0,,unknown
329,$149,$89,$89A240,$89A240-$89A27F,$89A440-$89A47F,111,0,,unknown
330,$14A,$89,$89A280,$89A280-$89A2BF,$89A480-$89A4BF,24,0,,unknown
331,$14B,$89,$89A2C0,$89A2C0-$89A2FF,$89A4C0-$89A4FF,53,0,,unknown
332,$14C,$89,$89A300,$89A300-$89A33F,$89A500-$89A53F,115,0,,unknown
333,$14D,$89,$89A340,$89A340-$89A37F,$89A540-$89A57F,120,0,,unknown
334,$14E,$89,$89A380,$89A380-$89A3BF,$89A580-$89A5BF,62,0,,unknown
335,$14F,$89,$89A3C0,$89A3C0-$89A3FF,$89A5C0-$89A5FF,81,0,,unknown
336,$150,$89,$89A400,$89A400-$89A43F,$89A600-$89A63F,117,0,,unknown
337,$151,$89,$89A440,$89A440-$89A47F,$89A640-$89A67F,123,0,,unknown
338,$152,$89,$89A480,$89A480-$89A4BF,$89A680-$89A6BF,13,0,,unknown
339,$153,$89,$89A4C0,$89A4C0-$89A4FF,$89A6C0-$89A6FF,57,0,,unknown
340,$154,$89,$89A500,$89A500-$89A53F,$89A700-$89A73F,90,0,,unknown
341,$155,$89,$89A540,$89A540-$89A57F,$89A740-$89A77F,117,0,,unknown
342,$156,$89,$89A580,$89A580-$89A5BF,$89A780-$89A7BF,55,0,,unknown
343,$157,$89,$89A5C0,$89A5C0-$89A5FF,$89A7C0-$89A7FF,102,0,,unknown
344,$158,$89,$89A600,$89A600-$89A63F,$89A800-$89A83F,55,0,,unknown
345,$159,$89,$89A640,$89A640-$89A67F,$89A840-$89A87F,66,0,,unknown
346,$15A,$89,$89A680,$89A680-$89A6BF,$89A880-$89A8BF,7,0,,unknown
347,$15B,$89,$89A6C0,$89A6C0-$89A6FF,$89A8C0-$89A8FF,36,0,,unknown
348,$15C,$89,$89A700,$89A700-$89A73F,$89A900-$89A93F,61,0,,unknown
349,$15D,$89,$89A740,$89A740-$89A77F,$89A940-$89A97F,97,0,,unknown
350,$15E,$89,$89A780,$89A780-$89A7BF,$89A980-$89A9BF,53,0,,unknown
351,$15F,$89,$89A7C0,$89A7C0-$89A7FF,$89A9C0-$89A9FF,82,0,,unknown
352,$160,$89,$89A800,$89A800-$89A83F,$89AA00-$89AA3F,31,0,,unknown
353,$161,$89,$89A840,$89A840-$89A87F,$89AA40-$89AA7F,45,0,,unknown
354,$162,$89,$89A880,$89A880-$89A8BF,$89AA80-$89AABF,31,0,,unknown
355,$163,$89,$89A8C0,$89A8C0-$89A8FF,$89AAC0-$89AAFF,65,0,,unknown
356,$164,$89,$89A900,$89A900-$89A93F,$89AB00-$89AB3F,90,0,,unknown
357,$165,$89,$89A940,$89A940-$89A97F,$89AB40-$89AB7F,72,0,,unknown
358,$166,$89,$89A980,$89A980-$89A9BF,$89AB80-$89ABBF,70,0,,unknown
359,$167,$89,$89A9C0,$89A9C0-$89A9FF,$89ABC0-$89ABFF,90,0,,unknown
360,$168,$89,$89AA00,$89AA00-$89AA3F,$89AC00-$89AC3F,62,0,,unknown
361,$169,$89,$89AA40,$89AA40-$89AA7F,$89AC40-$89AC7F,94,0,,unknown
362,$16A,$89,$89AA80,$89AA80-$89AABF,$89AC80-$89ACBF,61,0,,unknown
363,$16B,$89,$89AAC0,$89AAC0-$89AAFF,$89ACC0-$89ACFF,122,0,,unknown
364,$16C,$89,$89AB00,$89AB00-$89AB3F,$89AD00-$89AD3F,126,0,,unknown
365,$16D,$89,$89AB40,$89AB40-$89AB7F,$89AD40-$89AD7F,69,0,,unknown
366,$16E,$89,$89AB80,$89AB80-$89ABBF,$89AD80-$89ADBF,77,0,,unknown
367,$16F,$89,$89ABC0,$89ABC0-$89ABFF,$89ADC0-$89ADFF,125,0,,unknown
368,$170,$89,$89AC00,$89AC00-$89AC3F,$89AE00-$89AE3F,55,0,,unknown
369,$171,$89,$89AC40,$89AC40-$89AC7F,$89AE40-$89AE7F,107,0,,unknown
370,$172,$89,$89AC80,$89AC80-$89ACBF,$89AE80-$89AEBF,53,0,,unknown
371,$173,$89,$89ACC0,$89ACC0-$89ACFF,$89AEC0-$89AEFF,127,0,,unknown
372,$174,$89,$89AD00,$89AD00-$89AD3F,$89AF00-$89AF3F,122,0,,unknown
373,$175,$89,$89AD40,$89AD40-$89AD7F,$89AF40-$89AF7F,91,0,,unknown
374,$176,$89,$89AD80,$89AD80-$89ADBF,$89AF80-$89AFBF,62,0,,unknown
375,$177,$89,$89ADC0,$89ADC0-$89ADFF,$89AFC0-$89AFFF,108,0,,unknown
376,$178,$89,$89AE00,$89AE00-$89AE3F,$89B000-$89B03F,24,0,,unknown
377,$179,$89,$89AE40,$89AE40-$89AE7F,$89B040-$89B07F,55,0,,unknown
378,$17A,$89,$89AE80,$89AE80-$89AEBF,$89B080-$89B0BF,30,0,,unknown
379,$17B,$89,$89AEC0,$89AEC0-$89AEFF,$89B0C0-$89B0FF,121,0,,unknown
380,$17C,$89,$89AF00,$89AF00-$89AF3F,$89B100-$89B13F,60,0,,unknown
381,$17D,$89,$89AF40,$89AF40-$89AF7F,$89B140-$89B17F,52,0,,unknown
382,$17E,$89,$89AF80,$89AF80-$89AFBF,$89B180-$89B1BF,26,0,,unknown
383,$17F,$89,$89AFC0,$89AFC0-$89AFFF,$89B1C0-$89B1FF,45,0,,unknown
384,$180,$89,$89C000,$89C000-$89C03F,$89C200-$89C23F,91,0,,unknown
385,$181,$89,$89C040,$89C040-$89C07F,$89C240-$89C27F,128,0,,unknown
386,$182,$89,$89C080,$89C080-$89C0BF,$89C280-$89C2BF,122,0,,unknown
387,$183,$89,$89C0C0,$89C0C0-$89C0FF,$89C2C0-$89C2FF,121,0,,unknown
388,$184,$89,$89C100,$89C100-$89C13F,$89C300-$89C33F,90,0,,unknown
389,$185,$89,$89C140,$89C140-$89C17F,$89C340-$89C37F,16,0,,unknown
390,$186,$89,$89C180,$89C180-$89C1BF,$89C380-$89C3BF,13,0,,unknown
391,$187,$89,$89C1C0,$89C1C0-$89C1FF,$89C3C0-$89C3FF,0,0,,lower_candidate
392,$188,$89,$89C200,$89C200-$89C23F,$89C400-$89C43F,124,0,,unknown
393,$189,$89,$89C240,$89C240-$89C27F,$89C440-$89C47F,128,0,,unknown
394,$18A,$89,$89C280,$89C280-$89C2BF,$89C480-$89C4BF,120,0,,unknown
395,$18B,$89,$89C2C0,$89C2C0-$89C2FF,$89C4C0-$89C4FF,123,0,,unknown
396,$18C,$89,$89C300,$89C300-$89C33F,$89C500-$89C53F,119,0,,unknown
397,$18D,$89,$89C340,$89C340-$89C37F,$89C540-$89C57F,10,0,,unknown
398,$18E,$89,$89C380,$89C380-$89C3BF,$89C580-$89C5BF,3,0,,unknown
399,$18F,$89,$89C3C0,$89C3C0-$89C3FF,$89C5C0-$89C5FF,2,0,,unknown
400,$190,$89,$89C400,$89C400-$89C43F,$89C600-$89C63F,127,0,,unknown
401,$191,$89,$89C440,$89C440-$89C47F,$89C640-$89C67F,118,0,,unknown
402,$192,$89,$89C480,$89C480-$89C4BF,$89C680-$89C6BF,100,0,,unknown
403,$193,$89,$89C4C0,$89C4C0-$89C4FF,$89C6C0-$89C6FF,116,0,,unknown
404,$194,$89,$89C500,$89C500-$89C53F,$89C700-$89C73F,118,0,,unknown
405,$195,$89,$89C540,$89C540-$89C57F,$89C740-$89C77F,13,0,,unknown
406,$196,$89,$89C580,$89C580-$89C5BF,$89C780-$89C7BF,0,0,,lower_candidate
407,$197,$89,$89C5C0,$89C5C0-$89C5FF,$89C7C0-$89C7FF,50,0,,unknown
408,$198,$89,$89C600,$89C600-$89C63F,$89C800-$89C83F,63,0,,unknown
409,$199,$89,$89C640,$89C640-$89C67F,$89C840-$89C87F,90,0,,unknown
410,$19A,$89,$89C680,$89C680-$89C6BF,$89C880-$89C8BF,43,0,,unknown
411,$19B,$89,$89C6C0,$89C6C0-$89C6FF,$89C8C0-$89C8FF,56,0,,unknown
412,$19C,$89,$89C700,$89C700-$89C73F,$89C900-$89C93F,66,0,,unknown
413,$19D,$89,$89C740,$89C740-$89C77F,$89C940-$89C97F,56,0,,unknown
414,$19E,$89,$89C780,$89C780-$89C7BF,$89C980-$89C9BF,20,0,,unknown
415,$19F,$89,$89C7C0,$89C7C0-$89C7FF,$89C9C0-$89C9FF,78,0,,unknown
416,$1A0,$89,$89C800,$89C800-$89C83F,$89CA00-$89CA3F,21,0,,unknown
417,$1A1,$89,$89C840,$89C840-$89C87F,$89CA40-$89CA7F,96,0,,unknown
418,$1A2,$89,$89C880,$89C880-$89C8BF,$89CA80-$89CABF,43,0,,unknown
419,$1A3,$89,$89C8C0,$89C8C0-$89C8FF,$89CAC0-$89CAFF,43,0,,unknown
420,$1A4,$89,$89C900,$89C900-$89C93F,$89CB00-$89CB3F,37,0,,unknown
421,$1A5,$89,$89C940,$89C940-$89C97F,$89CB40-$89CB7F,105,0,,unknown
422,$1A6,$89,$89C980,$89C980-$89C9BF,$89CB80-$89CBBF,78,0,,unknown
423,$1A7,$89,$89C9C0,$89C9C0-$89C9FF,$89CBC0-$89CBFF,73,0,,unknown
424,$1A8,$89,$89CA00,$89CA00-$89CA3F,$89CC00-$89CC3F,49,0,,unknown
425,$1A9,$89,$89CA40,$89CA40-$89CA7F,$89CC40-$89CC7F,109,0,,unknown
426,$1AA,$89,$89CA80,$89CA80-$89CABF,$89CC80-$89CCBF,104,0,,unknown
427,$1AB,$89,$89CAC0,$89CAC0-$89CAFF,$89CCC0-$89CCFF,105,0,,unknown
428,$1AC,$89,$89CB00,$89CB00-$89CB3F,$89CD00-$89CD3F,61,0,,unknown
429,$1AD,$89,$89CB40,$89CB40-$89CB7F,$89CD40-$89CD7F,102,0,,unknown
430,$1AE,$89,$89CB80,$89CB80-$89CBBF,$89CD80-$89CDBF,122,0,,unknown
431,$1AF,$89,$89CBC0,$89CBC0-$89CBFF,$89CDC0-$89CDFF,104,0,,unknown
432,$1B0,$89,$89CC00,$89CC00-$89CC3F,$89CE00-$89CE3F,55,0,,unknown
433,$1B1,$89,$89CC40,$89CC40-$89CC7F,$89CE40-$89CE7F,81,0,,unknown
434,$1B2,$89,$89CC80,$89CC80-$89CCBF,$89CE80-$89CEBF,119,0,,unknown
435,$1B3,$89,$89CCC0,$89CCC0-$89CCFF,$89CEC0-$89CEFF,120,0,,unknown
436,$1B4,$89,$89CD00,$89CD00-$89CD3F,$89CF00-$89CF3F,60,0,,unknown
437,$1B5,$89,$89CD40,$89CD40-$89CD7F,$89CF40-$89CF7F,71,0,,unknown
438,$1B6,$89,$89CD80,$89CD80-$89CDBF,$89CF80-$89CFBF,128,0,,unknown
439,$1B7,$89,$89CDC0,$89CDC0-$89CDFF,$89CFC0-$89CFFF,125,0,,unknown
440,$1B8,$89,$89CE00,$89CE00-$89CE3F,$89D000-$89D03F,33,0,,unknown
441,$1B9,$89,$89CE40,$89CE40-$89CE7F,$89D040-$89D07F,73,0,,unknown
442,$1BA,$89,$89CE80,$89CE80-$89CEBF,$89D080-$89D0BF,64,0,,unknown
443,$1BB,$89,$89CEC0,$89CEC0-$89CEFF,$89D0C0-$89D0FF,99,0,,unknown
444,$1BC,$89,$89CF00,$89CF00-$89CF3F,$89D100-$89D13F,57,0,,unknown
445,$1BD,$89,$89CF40,$89CF40-$89CF7F,$89D140-$89D17F,31,0,,unknown
446,$1BE,$89,$89CF80,$89CF80-$89CFBF,$89D180-$89D1BF,93,0,,unknown
447,$1BF,$89,$89CFC0,$89CFC0-$89CFFF,$89D1C0-$89D1FF,98,0,,unknown
448,$1C0,$89,$89E000,$89E000-$89E03F,$89E200-$89E23F,21,0,,unknown
449,$1C1,$89,$89E040,$89E040-$89E07F,$89E240-$89E27F,41,0,,unknown
450,$1C2,$89,$89E080,$89E080-$89E0BF,$89E280-$89E2BF,86,0,,unknown
