visual_or_object_ref,pass83_ref_class,entry_count,groups,domains,roles,example_entries
$0191,low_immediate_param_or_small_id,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:14@$B38D74 $00:15@$B38D81
$01B2,low_immediate_param_or_small_id,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:132@$B392F9 $00:133@$B39306
$01B8,low_immediate_param_or_small_id,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:28@$B38E5D $00:131@$B392EC
$01C8,low_immediate_param_or_small_id,2,$00:1 $04:1,general_livestock_visual_context:1 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:2,$00:32@$B38E9C $04:7@$B3CBA5
$01C9,low_immediate_param_or_small_id,2,$02:1 $04:1,npc_family_event_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$02:1@$B3B44A $04:6@$B3CB60
$0208,mid_range_value_or_table_offset,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:42@$B38F5D $00:43@$B38F6A
$0305,mid_range_value_or_table_offset,2,$2A:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$2A:0@$B4C4D8 $2A:0@$B4C4D8
$03BC,mid_range_value_or_table_offset,2,$07:1 $08:1,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$07:7@$B3E037 $08:7@$B3E59A
$1293,mid_range_value_or_table_offset,2,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313
$8000,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:33@$B38EAA $00:38@$B38F11
$8150,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,chicken_poultry_visual_context:2,cc_object_visual_pointer_setup:2,$00:1@$B38CD0 $00:1@$B38CD0
$8258,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313
$8264,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313
$8300,candidate_visual_gobj_pointer_or_asset_table,2,$01:1 $02:1,general_livestock_visual_context:1 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:2,$01:1@$B39D05 $02:1@$B3B44A
$83B4,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:124@$B3922A $00:125@$B39241
$849F,candidate_visual_gobj_pointer_or_asset_table,2,$01:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$01:2@$B39F3E $01:2@$B39F3E
$86B4,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,cow_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:4@$B38CF8 $00:47@$B38FA2
$86CC,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,cow_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:3@$B38CEB $00:23@$B38DFC
$86D8,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,cow_livestock_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$00:7@$B38D1F $00:108@$B391CA
$8708,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,cow_livestock_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$00:6@$B38D12 $00:112@$B391E2
$872C,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,cow_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:9@$B38D39 $00:9@$B38D39
$87C8,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:126@$B39250 $00:127@$B392B3
$88AC,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,cow_livestock_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$00:47@$B38FA2 $00:88@$B390FF
$88DC,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:89@$B39105 $00:121@$B39218
$8900,candidate_visual_gobj_pointer_or_asset_table,2,$00:2,cow_livestock_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$00:23@$B38DFC $00:91@$B39111
$B390,bank_b3_b5_script_target_or_local_pointer,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:54@$B39001 $00:55@$B3900F
$B393,bank_b3_b5_script_target_or_local_pointer,2,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313
$B3DD,bank_b3_b5_script_target_or_local_pointer,2,$07:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$07:3@$B3DCD1 $07:3@$B3DCD1
$B3E4,bank_b3_b5_script_target_or_local_pointer,2,$08:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$08:5@$B3E4ED $08:5@$B3E4ED
$B4C5,bank_b3_b5_script_target_or_local_pointer,2,$2D:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$2D:0@$B4C5A4 $2D:0@$B4C5A4
$B585,bank_b3_b5_script_target_or_local_pointer,2,$43:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$43:1@$B584DA $43:1@$B584DA
$B5A5,bank_b3_b5_script_target_or_local_pointer,2,$45:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$45:3@$B5A484 $45:3@$B5A484
$0018,low_immediate_param_or_small_id,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:127@$B392B3
$001A,low_immediate_param_or_small_id,1,$2D:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2D:0@$B4C5A4
$00A0,low_immediate_param_or_small_id,1,$08:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$08:0@$B3E0DF
$00B4,low_immediate_param_or_small_id,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:126@$B39250
$00D8,low_immediate_param_or_small_id,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:37@$B38F03
$00F8,low_immediate_param_or_small_id,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:25@$B38E1E
$012A,low_immediate_param_or_small_id,1,$0B:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$0B:10@$B3EEEA
$0198,low_immediate_param_or_small_id,1,$01:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$01:5@$B3A438
$01A4,low_immediate_param_or_small_id,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:12@$B38D5A
$01B9,low_immediate_param_or_small_id,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:130@$B392DF
$01C6,low_immediate_param_or_small_id,1,$01:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$01:3@$B3A086
$01CA,low_immediate_param_or_small_id,1,$04:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$04:5@$B3CA98
$01E0,low_immediate_param_or_small_id,1,$04:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$04:1@$B3C6AE
$01E8,low_immediate_param_or_small_id,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:27@$B38E48
$0206,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:40@$B38F43
$0207,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:41@$B38F50
$0218,mid_range_value_or_table_offset,1,$2A:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2A:0@$B4C4D8
$0228,mid_range_value_or_table_offset,1,$2C:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2C:0@$B4C568
$0258,mid_range_value_or_table_offset,1,$2C:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2C:0@$B4C568
$0274,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:38@$B38F11
$0288,mid_range_value_or_table_offset,1,$04:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$04:5@$B3CA98
$02BE,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:124@$B3922A
$0303,mid_range_value_or_table_offset,1,$2B:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2B:0@$B4C524
$0304,mid_range_value_or_table_offset,1,$2A:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2A:0@$B4C4D8
$0307,mid_range_value_or_table_offset,1,$2C:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2C:0@$B4C568
$0321,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:48@$B38FAF
$0328,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:126@$B39250
$03DA,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:126@$B39250
$0801,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:26@$B38E33
$0C01,mid_range_value_or_table_offset,1,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:1@$B39D05
$0EE5,mid_range_value_or_table_offset,1,$08:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$08:5@$B3E4ED
$1020,mid_range_value_or_table_offset,1,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:1@$B39D05
$2001,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:24@$B38E09
$2DD9,mid_range_value_or_table_offset,1,$06:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$06:5@$B3D90E
$31DF,mid_range_value_or_table_offset,1,$07:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$07:5@$B3DF0F
$3801,mid_range_value_or_table_offset,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:25@$B38E1E
$489D,mid_range_value_or_table_offset,1,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:1@$B39D05
$4BE3,mid_range_value_or_table_offset,1,$08:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$08:3@$B3E31F
$4FAD,mid_range_value_or_table_offset,1,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:9@$B3AD24
$59A7,mid_range_value_or_table_offset,1,$01:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:7@$B3A727
$59E0,mid_range_value_or_table_offset,1,$07:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$07:7@$B3E037
$73B4,mid_range_value_or_table_offset,1,$02:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$02:1@$B3B44A
$7DE5,mid_range_value_or_table_offset,1,$08:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$08:6@$B3E560
$8108,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:5@$B38D05
$8120,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$00:17@$B38D9B
$8138,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:16@$B38D8E
$815C,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,chicken_poultry_visual_context:1,cc_object_visual_pointer_setup:1,$00:0@$B38CC8
$82A0,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:38@$B38F11
$82AC,candidate_visual_gobj_pointer_or_asset_table,1,$24:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$24:0@$B4A475
$8330,candidate_visual_gobj_pointer_or_asset_table,1,$01:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$01:5@$B3A438
$83FC,candidate_visual_gobj_pointer_or_asset_table,1,$01:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$01:3@$B3A086
$84C8,candidate_visual_gobj_pointer_or_asset_table,1,$01:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:10@$B3ADB1
$84EC,candidate_visual_gobj_pointer_or_asset_table,1,$2D:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2D:0@$B4C5A4
$84F8,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:50@$B38FD0
$86E4,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:7@$B38D1F
$86FC,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:8@$B38D2C
$8714,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:6@$B38D12
$8720,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:31@$B38E94
$8738,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:51@$B38FDB
$8744,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:52@$B38FE8
$8750,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:53@$B38FF5
$8774,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:19@$B38DBC
$8780,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:19@$B38DBC
$8798,candidate_visual_gobj_pointer_or_asset_table,1,$2B:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2B:0@$B4C524
$87A4,candidate_visual_gobj_pointer_or_asset_table,1,$2A:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2A:0@$B4C4D8
$87B0,candidate_visual_gobj_pointer_or_asset_table,1,$2C:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2C:0@$B4C568
$87BC,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:21@$B38DE5
$87F8,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:58@$B39045
$8804,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:59@$B3904E
$8810,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:109@$B391D0
$881C,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:110@$B391D6
$8828,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:111@$B391DC
$8834,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:113@$B391E8
$8840,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:114@$B391EE
$884C,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:115@$B391F4
$8858,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:81@$B390D5
$8864,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:82@$B390DB
$8870,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:83@$B390E1
$887C,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:84@$B390E7
$8888,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:85@$B390ED
$8894,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:86@$B390F3
$88A0,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:87@$B390F9
$88B8,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:117@$B39200
$88C4,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:118@$B39206
$88CB,candidate_visual_gobj_pointer_or_asset_table,1,$04:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$04:6@$B3CB60
$88D0,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:119@$B3920C
$88E8,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:122@$B3921E
$88F4,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:90@$B3910B
$8918,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:123@$B39224
$893C,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:92@$B39117
$8948,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$00:17@$B38D9B
$8954,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:62@$B39063
$8960,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:61@$B3905D
$896C,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:64@$B3906F
$8978,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:65@$B39075
$8984,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:66@$B3907B
$8990,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:67@$B39081
$899C,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:68@$B39087
$89A8,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:69@$B3908D
$89B4,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:70@$B39093
$89C0,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:71@$B39099
$89CC,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:72@$B3909F
$89D8,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:73@$B390A5
$89FC,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:77@$B390BD
$8A08,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:78@$B390C3
$8A14,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:79@$B390C9
$8A20,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:80@$B390CF
$8A2C,candidate_visual_gobj_pointer_or_asset_table,1,$00:1,chicken_poultry_visual_context:1,cc_object_visual_pointer_setup:1,$00:95@$B39129
$90DB,candidate_visual_gobj_pointer_or_asset_table,1,$07:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$07:1@$B3DB72
$ABA0,candidate_bank_asset_or_table_pointer,1,$01:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$01:3@$B3A086
$B336,bank_b3_b5_script_target_or_local_pointer,1,$00:1,general_livestock_visual_context:1,cc_object_parameter_state_setup:1,$00:18@$B38DB0
$B39E,bank_b3_b5_script_target_or_local_pointer,1,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:1@$B39D05
$B3A2,bank_b3_b5_script_target_or_local_pointer,1,$01:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$01:4@$B3A162
$B3BA,bank_b3_b5_script_target_or_local_pointer,1,$02:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$02:4@$B3B8D2
$B3D7,bank_b3_b5_script_target_or_local_pointer,1,$06:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$06:3@$B3D6CF
$B401,bank_b3_b5_script_target_or_local_pointer,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:27@$B38E48
$B597,bank_b3_b5_script_target_or_local_pointer,1,$43:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$43:4@$B59313
$B598,bank_b3_b5_script_target_or_local_pointer,1,$44:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$44:0@$B597F1
$B59C,bank_b3_b5_script_target_or_local_pointer,1,$44:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$44:2@$B59BE3
$B59E,bank_b3_b5_script_target_or_local_pointer,1,$44:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$44:3@$B59DD3
$B5A6,bank_b3_b5_script_target_or_local_pointer,1,$45:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$45:3@$B5A484
$B6D9,mid_range_value_or_table_offset,1,$06:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$06:6@$B3D99B
$B8D5,mid_range_value_or_table_offset,1,$06:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$06:1@$B3D59D
$B9E5,mid_range_value_or_table_offset,1,$08:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$08:7@$B3E59A
$C4CA,high_bank_pointer_or_immediate_word,1,$04:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$04:5@$B3CA98
$CC01,high_bank_pointer_or_immediate_word,1,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:28@$B38E5D
$CECB,high_bank_pointer_or_immediate_word,1,$04:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$04:7@$B3CBA5
$D3C6,high_bank_pointer_or_immediate_word,1,$04:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$04:1@$B3C6AE
$E8E1,high_bank_pointer_or_immediate_word,1,$08:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$08:1@$B3E1C9
$ECA6,high_bank_pointer_or_immediate_word,1,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:6@$B3A5B1
$ECE0,high_bank_pointer_or_immediate_word,1,$07:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$07:6@$B3DFCE
$FBD7,high_bank_pointer_or_immediate_word,1,$06:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$06:3@$B3D6CF
