visual_or_object_ref,pass83_ref_class,entry_count,groups,domains,roles,example_entries
$B3D9,bank_b3_b5_script_target_or_local_pointer,10,$06:10,general_livestock_visual_context:5 cow_livestock_visual_context:5,cc_object_visual_pointer_setup:10,$06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:6@$B3D99B $06:6@$B3D99B $06:6@$B3D99B
$B3E0,bank_b3_b5_script_target_or_local_pointer,10,$07:5 $08:5,npc_family_event_visual_context:5 general_livestock_visual_context:5,cc_object_visual_pointer_setup:10,$07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $08:0@$B3E0DF $08:0@$B3E0DF $08:0@$B3E0DF
$812C,candidate_visual_gobj_pointer_or_asset_table,9,$00:9,general_livestock_visual_context:9,cc_object_visual_pointer_setup:8 cc_object_parameter_state_setup:1,$00:16@$B38D8E $00:20@$B38DD1 $00:25@$B38E1E $00:40@$B38F43 $00:41@$B38F50 $00:42@$B38F5D $00:43@$B38F6A $00:75@$B390B1
$B3D6,bank_b3_b5_script_target_or_local_pointer,9,$06:9,general_livestock_visual_context:9,cc_object_visual_pointer_setup:9,$06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3 $06:3@$B3D6CF $06:3@$B3D6CF $06:3@$B3D6CF $06:3@$B3D6CF
$B3DF,bank_b3_b5_script_target_or_local_pointer,9,$07:9,general_livestock_visual_context:9,cc_object_visual_pointer_setup:9,$07:5@$B3DF0F $07:5@$B3DF0F $07:5@$B3DF0F $07:5@$B3DF0F $07:5@$B3DF0F $07:6@$B3DFCE $07:6@$B3DFCE $07:6@$B3DFCE
$0200,mid_range_value_or_table_offset,8,$06:3 $07:3 $08:2,general_livestock_visual_context:5 cow_livestock_visual_context:2 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:8,$06:1@$B3D59D $06:5@$B3D90E $06:6@$B3D99B $07:1@$B3DB72 $07:5@$B3DF0F $07:6@$B3DFCE $08:1@$B3E1C9 $08:6@$B3E560
$86C0,candidate_visual_gobj_pointer_or_asset_table,8,$00:8,general_livestock_visual_context:7 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:8,$00:3@$B38CEB $00:28@$B38E5D $00:37@$B38F03 $00:100@$B3916E $00:101@$B3917B $00:102@$B39188 $00:103@$B39195 $00:120@$B39212
$B38F,bank_b3_b5_script_target_or_local_pointer,8,$00:8,general_livestock_visual_context:7 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:8,$00:37@$B38F03 $00:38@$B38F11 $00:38@$B38F11 $00:44@$B38F77 $00:47@$B38FA2 $00:48@$B38FAF $00:49@$B38FC3 $00:53@$B38FF5
$B3AD,bank_b3_b5_script_target_or_local_pointer,8,$01:8,general_livestock_visual_context:4 cow_livestock_visual_context:4,cc_object_visual_pointer_setup:8,$01:9@$B3AD24 $01:9@$B3AD24 $01:9@$B3AD24 $01:9@$B3AD24 $01:10@$B3ADB1 $01:10@$B3ADB1 $01:10@$B3ADB1 $01:10@$B3ADB1
$B3D5,bank_b3_b5_script_target_or_local_pointer,8,$06:8,general_livestock_visual_context:8,cc_object_visual_pointer_setup:8,$06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3
$B3E2,bank_b3_b5_script_target_or_local_pointer,8,$08:8,general_livestock_visual_context:7 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:8,$08:1@$B3E1C9 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232
$8009,candidate_visual_gobj_pointer_or_asset_table,7,$08:4 $06:3,npc_family_event_visual_context:3 general_livestock_visual_context:2 cow_livestock_visual_context:2,cc_object_visual_pointer_setup:7,$06:1@$B3D59D $06:5@$B3D90E $06:6@$B3D99B $08:1@$B3E1C9 $08:5@$B3E4ED $08:6@$B3E560 $08:7@$B3E59A
$80FC,candidate_visual_gobj_pointer_or_asset_table,7,$00:7,general_livestock_visual_context:6 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:7,$00:5@$B38D05 $00:12@$B38D5A $00:13@$B38D67 $00:14@$B38D74 $00:15@$B38D81 $00:26@$B38E33 $00:94@$B39123
$8234,candidate_visual_gobj_pointer_or_asset_table,7,$00:2 $01:1 $04:1 $07:1 $08:1 $0B:1,npc_family_event_visual_context:4 general_livestock_visual_context:3,cc_object_visual_pointer_setup:7,$00:54@$B39001 $00:55@$B3900F $01:9@$B3AD24 $04:7@$B3CBA5 $07:7@$B3E037 $08:7@$B3E59A $0B:10@$B3EEEA
$8318,candidate_visual_gobj_pointer_or_asset_table,7,$00:1 $01:1 $04:1 $06:1 $07:1 $08:1 $24:1,npc_family_event_visual_context:4 general_livestock_visual_context:2 dog_pet_visual_context:1,cc_object_visual_pointer_setup:7,$00:29@$B38E72 $01:4@$B3A162 $04:3@$B3C810 $06:3@$B3D6CF $07:3@$B3DCD1 $08:3@$B3E31F $24:1@$B4A531
$86A8,candidate_visual_gobj_pointer_or_asset_table,7,$00:7,general_livestock_visual_context:6 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:7,$00:4@$B38CF8 $00:27@$B38E48 $00:96@$B3913A $00:97@$B39147 $00:98@$B39154 $00:99@$B39161 $00:116@$B391FA
$B3A5,bank_b3_b5_script_target_or_local_pointer,7,$01:7,general_livestock_visual_context:5 dog_pet_visual_context:2,cc_object_visual_pointer_setup:7,$01:5@$B3A438 $01:5@$B3A438 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1
$B3C7,bank_b3_b5_script_target_or_local_pointer,7,$04:7,npc_family_event_visual_context:7,cc_object_visual_pointer_setup:7,$04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE
$B3C8,bank_b3_b5_script_target_or_local_pointer,7,$04:7,npc_family_event_visual_context:7,cc_object_visual_pointer_setup:7,$04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810
$0059,low_immediate_param_or_small_id,6,$44:4 $45:2,general_livestock_visual_context:4 npc_family_event_visual_context:2,cc_object_visual_pointer_setup:6,$44:0@$B597F1 $44:1@$B599EB $44:2@$B59BE3 $44:3@$B59DD3 $45:0@$B5A205 $45:3@$B5A484
$01A8,low_immediate_param_or_small_id,6,$24:4 $00:2,general_livestock_visual_context:3 npc_family_event_visual_context:3,cc_object_visual_pointer_setup:6,$00:13@$B38D67 $00:126@$B39250 $24:0@$B4A475 $24:1@$B4A531 $24:2@$B4A55D $24:3@$B4A589
$01D8,low_immediate_param_or_small_id,6,$00:6,general_livestock_visual_context:6,cc_object_visual_pointer_setup:6,$00:25@$B38E1E $00:33@$B38EAA $00:35@$B38EE0 $00:38@$B38F11 $00:124@$B3922A $00:125@$B39241
$B3A1,bank_b3_b5_script_target_or_local_pointer,6,$01:6,dog_pet_visual_context:6,cc_object_visual_pointer_setup:6,$01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162
$B3B8,bank_b3_b5_script_target_or_local_pointer,6,$02:6,general_livestock_visual_context:6,cc_object_visual_pointer_setup:6,$02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2
$B3DC,bank_b3_b5_script_target_or_local_pointer,6,$07:6,npc_family_event_visual_context:5 general_livestock_visual_context:1,cc_object_visual_pointer_setup:6,$07:2@$B3DBD5 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1
$B3E1,bank_b3_b5_script_target_or_local_pointer,6,$08:6,npc_family_event_visual_context:4 general_livestock_visual_context:2,cc_object_visual_pointer_setup:6,$08:0@$B3E0DF $08:0@$B3E0DF $08:1@$B3E1C9 $08:1@$B3E1C9 $08:1@$B3E1C9 $08:1@$B3E1C9
$B3E3,bank_b3_b5_script_target_or_local_pointer,6,$08:6,npc_family_event_visual_context:6,cc_object_visual_pointer_setup:6,$08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F
$B5A1,bank_b3_b5_script_target_or_local_pointer,6,$44:6,cow_livestock_visual_context:6,cc_object_visual_pointer_setup:6,$44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA
$0050,low_immediate_param_or_small_id,5,$01:1 $04:1 $06:1 $07:1 $08:1,general_livestock_visual_context:3 npc_family_event_visual_context:2,cc_object_visual_pointer_setup:5,$01:6@$B3A5B1 $04:5@$B3CA98 $06:5@$B3D90E $07:5@$B3DF0F $08:5@$B3E4ED
$0078,low_immediate_param_or_small_id,5,$00:2 $01:1 $02:1 $2A:1,general_livestock_visual_context:3 npc_family_event_visual_context:2,cc_object_visual_pointer_setup:5,$00:32@$B38E9C $00:55@$B3900F $01:1@$B39D05 $02:1@$B3B44A $2A:0@$B4C4D8
$0098,low_immediate_param_or_small_id,5,$01:2 $07:1 $0B:1 $2B:1,general_livestock_visual_context:2 npc_family_event_visual_context:2 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:5,$01:7@$B3A727 $01:9@$B3AD24 $07:6@$B3DFCE $0B:10@$B3EEEA $2B:0@$B4C524
$0178,low_immediate_param_or_small_id,5,$00:4 $01:1,general_livestock_visual_context:4 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:5,$00:51@$B38FDB $00:52@$B38FE8 $00:53@$B38FF5 $00:55@$B3900F $01:10@$B3ADB1
$2020,mid_range_value_or_table_offset,5,$00:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$00:24@$B38E09 $00:25@$B38E1E $00:26@$B38E33 $00:27@$B38E48 $00:28@$B38E5D
$8114,candidate_visual_gobj_pointer_or_asset_table,5,$00:5,general_livestock_visual_context:4 dog_pet_visual_context:1,cc_object_visual_pointer_setup:4 cc_object_parameter_state_setup:1,$00:17@$B38D9B $00:18@$B38DB0 $00:24@$B38E09 $00:60@$B39057 $00:63@$B39069
$82E8,candidate_visual_gobj_pointer_or_asset_table,5,$01:1 $04:1 $06:1 $07:1 $08:1,general_livestock_visual_context:3 npc_family_event_visual_context:2,cc_object_visual_pointer_setup:5,$01:6@$B3A5B1 $04:5@$B3CA98 $06:5@$B3D90E $07:5@$B3DF0F $08:5@$B3E4ED
$8354,candidate_visual_gobj_pointer_or_asset_table,5,$01:1 $04:1 $06:1 $07:1 $08:1,general_livestock_visual_context:4 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:5,$01:2@$B39F3E $04:1@$B3C6AE $06:1@$B3D59D $07:1@$B3DB72 $08:1@$B3E1C9
$836C,candidate_visual_gobj_pointer_or_asset_table,5,$00:1 $01:1 $04:1 $07:1 $08:1,general_livestock_visual_context:3 cow_livestock_visual_context:2,cc_object_visual_pointer_setup:5,$00:32@$B38E9C $01:7@$B3A727 $04:6@$B3CB60 $07:6@$B3DFCE $08:6@$B3E560
$86F0,candidate_visual_gobj_pointer_or_asset_table,5,$00:5,general_livestock_visual_context:4 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:5,$00:8@$B38D2C $00:130@$B392DF $00:131@$B392EC $00:132@$B392F9 $00:133@$B39306
