visual_or_object_ref,pass84_resolution_class,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,groups,example_entries
$B3DC,source_address_line_match,SourceLineRef_general_livestock_B3DC_code_banks_bank_83_code_banks_bank_84,context_source_address_not_final_gobj,medium,6,general_livestock,$07:6,$07:2@$B3DBD5 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1
$B3E3,source_address_line_match,SourceLineRef_npc_family_or_romance_B3E3_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,6,npc_family_or_romance,$08:6,$08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F
$B5A1,source_address_line_match,SourceLineRef_cow_livestock_B5A1_code_banks_bank_84,context_source_address_not_final_gobj,medium,6,cow_livestock,$44:6,$44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA
$2020,visual_param_or_non_gobj_id,VisualParam_general_livestock_2020,visual_param_not_final_gobj,medium,5,general_livestock,$00:5,$00:24@$B38E09 $00:25@$B38E1E $00:26@$B38E33 $00:27@$B38E48 $00:28@$B38E5D
$8114,source_address_line_match,SourceLineRef_dog_pet_8114_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,5,dog_pet,$00:5,$00:17@$B38D9B $00:18@$B38DB0 $00:24@$B38E09 $00:60@$B39057 $00:63@$B39069
$82E8,source_address_line_match,SourceLineRef_general_livestock_82E8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,5,general_livestock,$01:1 $04:1 $06:1 $07:1 $08:1,$01:6@$B3A5B1 $04:5@$B3CA98 $06:5@$B3D90E $07:5@$B3DF0F $08:5@$B3E4ED
$8354,source_address_line_match,SourceLineRef_general_livestock_8354_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,5,general_livestock,$01:1 $04:1 $06:1 $07:1 $08:1,$01:2@$B39F3E $04:1@$B3C6AE $06:1@$B3D59D $07:1@$B3DB72 $08:1@$B3E1C9
$836C,source_address_line_match,SourceLineRef_cow_livestock_836C_code_banks_bank_81,context_source_address_not_final_gobj,medium,5,cow_livestock,$00:1 $01:1 $04:1 $07:1 $08:1,$00:32@$B38E9C $01:7@$B3A727 $04:6@$B3CB60 $07:6@$B3DFCE $08:6@$B3E560
$86F0,source_address_line_match,SourceLineRef_cow_livestock_86F0_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,5,cow_livestock,$00:5,$00:8@$B38D2C $00:130@$B392DF $00:131@$B392EC $00:132@$B392F9 $00:133@$B39306
$B392,source_address_line_match,SourceLineRef_general_livestock_B392_code_banks_bank_84_data_banks_bank_B6,context_source_address_not_final_gobj,medium,5,general_livestock,$00:5,$00:124@$B3922A $00:126@$B39250 $00:126@$B39250 $00:126@$B39250 $00:126@$B39250
$B39F,source_address_line_match,SourceLineRef_general_livestock_B39F_code_banks_bank_84,context_source_address_not_final_gobj,medium,5,general_livestock,$01:5,$01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E
$B3A0,source_address_line_match,SourceLineRef_npc_family_or_romance_B3A0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,5,npc_family_or_romance,$01:5,$01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086
$B3B4,source_address_line_match,SourceLineRef_npc_family_or_romance_B3B4_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,5,npc_family_or_romance,$02:5,$02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A
$B589,source_address_line_match,SourceLineRef_dog_pet_B589_code_banks_bank_84,context_source_address_not_final_gobj,medium,5,dog_pet,$43:5,$43:1@$B584DA $43:2@$B58990 $43:2@$B58990 $43:2@$B58990 $43:2@$B58990
$B58E,source_address_line_match,SourceLineRef_dog_pet_B58E_code_banks_bank_84_data_banks_bank_B5,context_source_address_not_final_gobj,medium,5,dog_pet,$43:5,$43:2@$B58990 $43:3@$B58E4E $43:3@$B58E4E $43:3@$B58E4E $43:3@$B58E4E
$B593,source_address_line_match,SourceLineRef_dog_pet_B593_code_banks_bank_81_code_banks_bank_84,context_source_address_not_final_gobj,medium,5,dog_pet,$43:5,$43:3@$B58E4E $43:4@$B59313 $43:4@$B59313 $43:4@$B59313 $43:4@$B59313
$B59B,source_address_line_match,SourceLineRef_general_livestock_B59B_code_banks_bank_84,context_source_address_not_final_gobj,medium,5,general_livestock,$44:5,$44:1@$B599EB $44:1@$B599EB $44:1@$B599EB $44:1@$B599EB $44:1@$B599EB
$8504,source_address_line_match,SourceLineRef_general_livestock_8504_data_banks_bank_AD,context_source_address_not_final_gobj,medium,4,general_livestock,$00:4,$00:48@$B38FAF $00:48@$B38FAF $00:49@$B38FC3 $00:49@$B38FC3
$B39D,source_address_line_match,SourceLineRef_general_livestock_B39D_data_banks_bank_B4,context_source_address_not_final_gobj,medium,4,general_livestock,$01:4,$01:1@$B39D05 $01:1@$B39D05 $01:1@$B39D05 $01:1@$B39D05
$B3A4,source_address_line_match,SourceLineRef_dog_pet_B3A4_data_banks_bank_AD_data_banks_bank_B8,context_source_address_not_final_gobj,medium,4,dog_pet,$01:4,$01:5@$B3A438 $01:5@$B3A438 $01:5@$B3A438 $01:5@$B3A438
$B3CA,source_address_line_match,SourceLineRef_npc_family_or_romance_B3CA_data_banks_bank_B7,context_source_address_not_final_gobj,medium,4,npc_family_or_romance,$04:4,$04:5@$B3CA98 $04:5@$B3CA98 $04:5@$B3CA98 $04:5@$B3CA98
$B3EE,source_address_line_match,SourceLineRef_npc_family_or_romance_B3EE_code_banks_bank_83_data_banks_bank_B5,context_source_address_not_final_gobj,medium,4,npc_family_or_romance,$0B:4,$0B:10@$B3EEEA $0B:10@$B3EEEA $0B:10@$B3EEEA $0B:10@$B3EEEA
$B580,source_address_line_match,SourceLineRef_general_livestock_B580_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,4,general_livestock,$43:4,$43:0@$B58020 $43:0@$B58020 $43:0@$B58020 $43:0@$B58020
$B599,source_address_line_match,SourceLineRef_general_livestock_B599_code_banks_bank_84,context_source_address_not_final_gobj,medium,4,general_livestock,$44:4,$44:0@$B597F1 $44:0@$B597F1 $44:0@$B597F1 $44:0@$B597F1
$B59D,source_address_line_match,SourceLineRef_general_livestock_B59D_code_banks_bank_84_data_banks_bank_B4,context_source_address_not_final_gobj,medium,4,general_livestock,$44:4,$44:2@$B59BE3 $44:2@$B59BE3 $44:2@$B59BE3 $44:2@$B59BE3
$FFF8,source_address_line_match,SourceLineRef_general_livestock_FFF8_data_banks_bank_BB,context_source_address_not_final_gobj,medium,4,general_livestock,$24:4,$24:0@$B4A475 $24:1@$B4A531 $24:2@$B4A55D $24:3@$B4A589
$8144,source_address_line_match,SourceLineRef_chicken_poultry_8144_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,3,chicken_poultry,$00:3,$00:2@$B38CDE $00:2@$B38CDE $00:93@$B3911D
$8240,source_address_line_match,SourceLineRef_general_livestock_8240_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,3,general_livestock,$24:2 $00:1,$00:44@$B38F77 $24:2@$B4A55D $24:3@$B4A589
$8378,source_address_line_match,SourceLineRef_cow_livestock_8378_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,3,cow_livestock,$00:2 $06:1,$00:33@$B38EAA $00:35@$B38EE0 $06:6@$B3D99B
$8768,source_address_line_match,SourceLineRef_general_livestock_8768_code_banks_bank_81_code_banks_bank_83,context_source_address_not_final_gobj,medium,3,general_livestock,$00:3,$00:19@$B38DBC $00:74@$B390AB $00:128@$B392D0
$B584,source_address_line_match,SourceLineRef_dog_pet_B584_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,3,dog_pet,$43:3,$43:0@$B58020 $43:1@$B584DA $43:1@$B584DA
$B5A4,source_address_line_match,SourceLineRef_npc_family_or_romance_B5A4_code_banks_bank_82_code_banks_bank_83,context_source_address_not_final_gobj,medium,3,npc_family_or_romance,$45:3,$45:0@$B5A205 $45:3@$B5A484 $45:3@$B5A484
$FFE0,source_address_line_match,SourceLineRef_general_livestock_FFE0_data_banks_bank_86_data_banks_bank_88,context_source_address_not_final_gobj,medium,3,general_livestock,$00:3,$00:33@$B38EAA $00:38@$B38F11 $00:124@$B3922A
$1293,visual_param_or_non_gobj_id,VisualParam_dog_pet_1293,visual_param_not_final_gobj,medium,2,dog_pet,$00:2,$00:134@$B39313 $00:135@$B39313
$8000,source_address_line_match,SourceLineRef_general_livestock_8000_code_banks_bank_80_code_banks_bank_81,context_source_address_not_final_gobj,medium,2,general_livestock,$00:2,$00:33@$B38EAA $00:38@$B38F11
$8150,source_address_line_match,SourceLineRef_chicken_poultry_8150_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,2,chicken_poultry,$00:2,$00:1@$B38CD0 $00:1@$B38CD0
$8258,source_address_line_match,SourceLineRef_dog_pet_8258_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,2,dog_pet,$00:2,$00:134@$B39313 $00:135@$B39313
$8264,source_address_line_match,SourceLineRef_dog_pet_8264_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,2,dog_pet,$00:2,$00:134@$B39313 $00:135@$B39313
$8300,source_address_line_match,SourceLineRef_general_livestock_8300_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,2,general_livestock,$01:1 $02:1,$01:1@$B39D05 $02:1@$B3B44A
$83B4,source_address_line_match,SourceLineRef_general_livestock_83B4_data_banks_bank_AD,context_source_address_not_final_gobj,medium,2,general_livestock,$00:2,$00:124@$B3922A $00:125@$B39241
$86B4,source_address_line_match,SourceLineRef_cow_livestock_86B4_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,2,cow_livestock,$00:2,$00:4@$B38CF8 $00:47@$B38FA2
$86CC,source_address_line_match,SourceLineRef_cow_livestock_86CC_code_banks_bank_81_data_banks_bank_B8,context_source_address_not_final_gobj,medium,2,cow_livestock,$00:2,$00:3@$B38CEB $00:23@$B38DFC
$86D8,source_address_line_match,SourceLineRef_cow_livestock_86D8_data_banks_bank_B3,context_source_address_not_final_gobj,medium,2,cow_livestock,$00:2,$00:7@$B38D1F $00:108@$B391CA
$8708,source_address_line_match,SourceLineRef_cow_livestock_8708_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,2,cow_livestock,$00:2,$00:6@$B38D12 $00:112@$B391E2
$872C,source_address_line_match,SourceLineRef_cow_livestock_872C_code_banks_bank_81_data_banks_bank_B6,context_source_address_not_final_gobj,medium,2,cow_livestock,$00:2,$00:9@$B38D39 $00:9@$B38D39
$87C8,source_address_line_match,SourceLineRef_general_livestock_87C8_data_banks_bank_B3_data_banks_bank_B4,context_source_address_not_final_gobj,medium,2,general_livestock,$00:2,$00:126@$B39250 $00:127@$B392B3
$88AC,source_address_line_match,SourceLineRef_cow_livestock_88AC_code_banks_bank_83_data_banks_bank_B8,context_source_address_not_final_gobj,medium,2,cow_livestock,$00:2,$00:47@$B38FA2 $00:88@$B390FF
$88DC,source_address_line_match,SourceLineRef_general_livestock_88DC_data_banks_bank_B8_data_banks_bank_B9,context_source_address_not_final_gobj,medium,2,general_livestock,$00:2,$00:89@$B39105 $00:121@$B39218
$8900,source_address_line_match,SourceLineRef_cow_livestock_8900_code_banks_bank_83_data_banks_bank_86,context_source_address_not_final_gobj,medium,2,cow_livestock,$00:2,$00:23@$B38DFC $00:91@$B39111
$B390,source_address_line_match,SourceLineRef_general_livestock_B390_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,2,general_livestock,$00:2,$00:54@$B39001 $00:55@$B3900F
$B393,source_address_line_match,SourceLineRef_dog_pet_B393_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,2,dog_pet,$00:2,$00:134@$B39313 $00:135@$B39313
$B3DD,source_address_line_match,SourceLineRef_npc_family_or_romance_B3DD_data_banks_bank_B4,context_source_address_not_final_gobj,medium,2,npc_family_or_romance,$07:2,$07:3@$B3DCD1 $07:3@$B3DCD1
$B3E4,source_address_line_match,SourceLineRef_npc_family_or_romance_B3E4_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,2,npc_family_or_romance,$08:2,$08:5@$B3E4ED $08:5@$B3E4ED
$B4C5,source_address_line_match,SourceLineRef_npc_family_or_romance_B4C5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,2,npc_family_or_romance,$2D:2,$2D:0@$B4C5A4 $2D:0@$B4C5A4
$B585,source_address_line_match,SourceLineRef_dog_pet_B585_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,2,dog_pet,$43:2,$43:1@$B584DA $43:1@$B584DA
$B5A5,source_address_line_match,SourceLineRef_npc_family_or_romance_B5A5_data_banks_bank_A5,context_source_address_not_final_gobj,medium,2,npc_family_or_romance,$45:2,$45:3@$B5A484 $45:3@$B5A484
$0801,visual_param_or_non_gobj_id,VisualParam_general_livestock_0801,visual_param_not_final_gobj,medium,1,general_livestock,$00:1,$00:26@$B38E33
$0C01,visual_param_or_non_gobj_id,VisualParam_general_livestock_0C01,visual_param_not_final_gobj,medium,1,general_livestock,$01:1,$01:1@$B39D05
