visual_or_object_ref,pass84_resolution_class,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,groups,example_entries
$8834,source_address_line_match,SourceLineRef_general_livestock_8834_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:113@$B391E8
$8858,source_address_line_match,SourceLineRef_general_livestock_8858_data_banks_bank_B3_data_banks_bank_B4,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:81@$B390D5
$8864,source_address_line_match,SourceLineRef_general_livestock_8864_data_banks_bank_AD_data_banks_bank_BB,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:82@$B390DB
$8870,source_address_line_match,SourceLineRef_general_livestock_8870_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:83@$B390E1
$887C,source_address_line_match,SourceLineRef_general_livestock_887C_code_banks_bank_84_data_banks_bank_BB,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:84@$B390E7
$8888,source_address_line_match,SourceLineRef_general_livestock_8888_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:85@$B390ED
$88A0,source_address_line_match,SourceLineRef_general_livestock_88A0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:87@$B390F9
$88B8,source_address_line_match,SourceLineRef_general_livestock_88B8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:117@$B39200
$88C4,source_address_line_match,SourceLineRef_general_livestock_88C4_data_banks_bank_AD_data_banks_bank_B6,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:118@$B39206
$88D0,source_address_line_match,SourceLineRef_general_livestock_88D0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:119@$B3920C
$88F4,source_address_line_match,SourceLineRef_general_livestock_88F4_code_banks_bank_83_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:90@$B3910B
$8918,source_address_line_match,SourceLineRef_general_livestock_8918_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:123@$B39224
$8948,source_address_line_match,SourceLineRef_dog_pet_8948_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,dog_pet,$00:1,$00:17@$B38D9B
$8954,source_address_line_match,SourceLineRef_general_livestock_8954_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:62@$B39063
$8960,source_address_line_match,SourceLineRef_general_livestock_8960_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:61@$B3905D
$896C,source_address_line_match,SourceLineRef_general_livestock_896C_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:64@$B3906F
$8978,source_address_line_match,SourceLineRef_general_livestock_8978_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:65@$B39075
$8984,source_address_line_match,SourceLineRef_general_livestock_8984_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:66@$B3907B
$8990,source_address_line_match,SourceLineRef_general_livestock_8990_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:67@$B39081
$89A8,source_address_line_match,SourceLineRef_general_livestock_89A8_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:69@$B3908D
