old_label,new_label
CODE_84C85F,EventScriptBank84_Branch_84C85F
CODE_84C882,EventScriptBank84_Branch_84C882
CODE_84C889,EventScriptBank84_Branch_84C889
CODE_84C88A,EventScriptBank84_Branch_84C88A
CODE_84C897,EventScriptBank84_Branch_84C897
CODE_84C8A4,EventScriptBank84_Branch_84C8A4
CODE_84C8AD,EventScriptBank84_Branch_84C8AD
CODE_84C8BA,EventScriptBank84_Branch_84C8BA
CODE_84C8C7,EventScriptBank84_Branch_84C8C7
CODE_84C8D0,EventScriptBank84_Branch_84C8D0
CODE_84C8DD,EventScriptBank84_Branch_84C8DD
CODE_84C8EA,EventScriptBank84_Branch_84C8EA
CODE_84C8F3,EventScriptBank84_Branch_84C8F3
CODE_84C900,EventScriptBank84_Branch_84C900
CODE_84C90D,EventScriptBank84_Branch_84C90D
CODE_84C917,EventScriptBank84_Branch_84C917
CODE_84C921,EventScriptBank84_Branch_84C921
CODE_84C92B,EventScriptBank84_Branch_84C92B
CODE_84C995,EventScriptBank84_Branch_84C995
CODE_84C998,EventScriptBank84_Branch_84C998
CODE_84C9CF,EventScriptBank84_Branch_84C9CF
CODE_84C9D2,EventScriptBank84_Branch_84C9D2
CODE_84CA09,EventScriptBank84_Branch_84CA09
CODE_84CA0C,EventScriptBank84_Branch_84CA0C
CODE_84CB4E,EventScriptBank84_Branch_84CB4E
CODE_84CB75,EventScriptBank84_Branch_84CB75
CODE_84CB7D,EventScriptBank84_Branch_84CB7D
CODE_84CBA4,EventScriptBank84_Branch_84CBA4
CODE_84CBAC,EventScriptBank84_Branch_84CBAC
CODE_84CBD3,EventScriptBank84_Branch_84CBD3
CODE_84CBDB,EventScriptBank84_Branch_84CBDB
CODE_84CBE3,EventScriptBank84_Branch_84CBE3
CODE_84CBEF,EventScriptBank84_Branch_84CBEF
CODE_84CC1B,EventScriptBank84_Branch_84CC1B
CODE_84CC28,EventScriptBank84_Branch_84CC28
CODE_84CC30,EventScriptBank84_Branch_84CC30
CODE_84CC38,EventScriptBank84_Branch_84CC38
CODE_84CC40,EventScriptBank84_Branch_84CC40
CODE_84CC53,EventScriptBank84_Branch_84CC53
CODE_84CC64,EventScriptBank84_Branch_84CC64
CODE_84CC6F,EventScriptBank84_Branch_84CC6F
CODE_84CC98,EventScriptBank84_Branch_84CC98
CODE_84CCC0,EventScriptBank84_Branch_84CCC0
CODE_84CD37,EventScriptBank84_Branch_84CD37
CODE_84CD45,EventScriptBank84_Branch_84CD45
CODE_84CD53,EventScriptBank84_Branch_84CD53
CODE_84CD6B,EventScriptBank84_Branch_84CD6B
CODE_84CD71,EventScriptBank84_Branch_84CD71
CODE_84CED2,EventScriptBank84_Branch_84CED2
CODE_84CF04,EventScriptBank84_Branch_84CF04
CODE_84CF38,EventScriptBank84_Branch_84CF38
CODE_84CF4B,EventScriptBank84_Branch_84CF4B
CODE_84CF6D,EventScriptBank84_Branch_84CF6D
CODE_84CFAA,EventScriptBank84_Branch_84CFAA
CODE_84CFB5,EventScriptBank84_Branch_84CFB5
CODE_84CFC0,EventScriptBank84_Branch_84CFC0
CODE_84CFCB,EventScriptBank84_Branch_84CFCB
CODE_84D01C,EventScriptBank84_Branch_84D01C
CODE_84D02B,EventScriptBank84_Branch_84D02B
CODE_84D030,EventScriptBank84_Branch_84D030
CODE_84D069,EventScriptBank84_Branch_84D069
CODE_84D077,EventScriptBank84_Branch_84D077
CODE_84D07C,EventScriptBank84_Branch_84D07C
CODE_84D0CD,EventScriptBank84_Branch_84D0CD
CODE_84D0DE,EventScriptBank84_Branch_84D0DE
CODE_84D133,EventScriptBank84_Branch_84D133
CODE_84D144,EventScriptBank84_Branch_84D144
