visual_or_object_ref,pass83_ref_class,pass84_resolution_class,pass84_confidence,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,gobj_id_matches,anim_sequence_matches,source_address_matches,groups,domains,roles,example_entries,pass86_semantic_alias,pass86_resolution_class,pass86_alias_confidence,pass86_resolution_note
$B38F,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_B38F_code_banks_bank_84,context_source_address_not_final_gobj,medium,8,cow_livestock,,,$84B38F:<data>:src/code_banks/bank_84.asm:7076,$00:8,general_livestock_visual_context:7 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:8,$00:37@$B38F03 $00:38@$B38F11 $00:38@$B38F11 $00:44@$B38F77 $00:47@$B38FA2 $00:48@$B38FAF $00:49@$B38FC3 $00:53@$B38FF5,SourceLineRef_cow_livestock_B38F_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3AD,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_B3AD_data_banks_bank_B4,context_source_address_not_final_gobj,medium,8,cow_livestock,,,$B4B3AD:<data>:src/data_banks/bank_B4.asm:864,$01:8,general_livestock_visual_context:4 cow_livestock_visual_context:4,cc_object_visual_pointer_setup:8,$01:9@$B3AD24 $01:9@$B3AD24 $01:9@$B3AD24 $01:9@$B3AD24 $01:10@$B3ADB1 $01:10@$B3ADB1 $01:10@$B3ADB1 $01:10@$B3ADB1,SourceLineRef_cow_livestock_B3AD_data_banks_bank_B4,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3D5,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B3D5_data_banks_bank_A5,context_source_address_not_final_gobj,medium,8,general_livestock,,,$A5B3D5:<data>:src/data_banks/bank_A5.asm:835,$06:8,general_livestock_visual_context:8,cc_object_visual_pointer_setup:8,$06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:1@$B3D59D $06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3,SourceLineRef_general_livestock_B3D5_data_banks_bank_A5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3E2,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B3E2_code_banks_bank_84,context_source_address_not_final_gobj,medium,8,general_livestock,,,$84B3E2:<data>:src/code_banks/bank_84.asm:7117,$08:8,general_livestock_visual_context:7 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:8,$08:1@$B3E1C9 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232 $08:2@$B3E232,SourceLineRef_general_livestock_B3E2_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8009,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_8009_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,7,cow_livestock,,,$818009:<data>:src/code_banks/bank_81.asm:10 | $B38009:<data>:src/data_banks/bank_B3.asm:7,$08:4 $06:3,npc_family_event_visual_context:3 general_livestock_visual_context:2 cow_livestock_visual_context:2,cc_object_visual_pointer_setup:7,$06:1@$B3D59D $06:5@$B3D90E $06:6@$B3D99B $08:1@$B3E1C9 $08:5@$B3E4ED $08:6@$B3E560 $08:7@$B3E59A,SourceLineRef_cow_livestock_8009_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$80FC,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_cow_livestock_80FC,manual_asset_table_decode_needed,low,7,cow_livestock,,,,$00:7,general_livestock_visual_context:6 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:7,$00:5@$B38D05 $00:12@$B38D5A $00:13@$B38D67 $00:14@$B38D74 $00:15@$B38D81 $00:26@$B38E33 $00:94@$B39123,CCVisualPtr_cow_livestock_80FC,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$8234,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8234_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,7,general_livestock,,,$AD8234:<data>:src/data_banks/bank_AD.asm:41 | $B98234:<data>:src/data_banks/bank_B9.asm:45,$00:2 $01:1 $04:1 $07:1 $08:1 $0B:1,npc_family_event_visual_context:4 general_livestock_visual_context:3,cc_object_visual_pointer_setup:7,$00:54@$B39001 $00:55@$B3900F $01:9@$B3AD24 $04:7@$B3CBA5 $07:7@$B3E037 $08:7@$B3E59A $0B:10@$B3EEEA,SourceLineRef_general_livestock_8234_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8318,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_8318_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,7,dog_pet,,,$B38318:<data>:src/data_banks/bank_B3.asm:114 | $B98318:<data>:src/data_banks/bank_B9.asm:61,$00:1 $01:1 $04:1 $06:1 $07:1 $08:1 $24:1,npc_family_event_visual_context:4 general_livestock_visual_context:2 dog_pet_visual_context:1,cc_object_visual_pointer_setup:7,$00:29@$B38E72 $01:4@$B3A162 $04:3@$B3C810 $06:3@$B3D6CF $07:3@$B3DCD1 $08:3@$B3E31F $24:1@$B4A531,SourceLineRef_dog_pet_8318_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$86A8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_86A8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,7,cow_livestock,,,$8186A8:<data>:src/code_banks/bank_81.asm:860 | $B386A8:<data>:src/data_banks/bank_B3.asm:171 | $BB86A8:<data>:src/data_banks/bank_BB.asm:126,$00:7,general_livestock_visual_context:6 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:7,$00:4@$B38CF8 $00:27@$B38E48 $00:96@$B3913A $00:97@$B39147 $00:98@$B39154 $00:99@$B39161 $00:116@$B391FA,SourceLineRef_cow_livestock_86A8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3A5,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B3A5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,7,dog_pet,,,$84B3A5:<data>:src/code_banks/bank_84.asm:7088 | $A5B3A5:<data>:src/data_banks/bank_A5.asm:832,$01:7,general_livestock_visual_context:5 dog_pet_visual_context:2,cc_object_visual_pointer_setup:7,$01:5@$B3A438 $01:5@$B3A438 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1 $01:6@$B3A5B1,SourceLineRef_dog_pet_B3A5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3C7,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3C7_code_banks_bank_84,context_source_address_not_final_gobj,medium,7,npc_family_or_romance,,,$84B3C7:<data>:src/code_banks/bank_84.asm:7104,$04:7,npc_family_event_visual_context:7,cc_object_visual_pointer_setup:7,$04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE $04:2@$B3C6FE,SourceLineRef_npc_family_or_romance_B3C7_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3C8,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3C8_data_banks_bank_B6,context_source_address_not_final_gobj,medium,7,npc_family_or_romance,,,$B6B3C8:<data>:src/data_banks/bank_B6.asm:948,$04:7,npc_family_event_visual_context:7,cc_object_visual_pointer_setup:7,$04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810 $04:3@$B3C810,SourceLineRef_npc_family_or_romance_B3C8_data_banks_bank_B6,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3A1,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B3A1_code_banks_bank_84,context_source_address_not_final_gobj,medium,6,dog_pet,,,$84B3A1:<data>:src/code_banks/bank_84.asm:7086,$01:6,dog_pet_visual_context:6,cc_object_visual_pointer_setup:6,$01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162 $01:4@$B3A162,SourceLineRef_dog_pet_B3A1_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3B8,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B3B8_code_banks_bank_84_data_banks_bank_B6,context_source_address_not_final_gobj,medium,6,general_livestock,,,$84B3B8:<data>:src/code_banks/bank_84.asm:7097 | $B6B3B8:<data>:src/data_banks/bank_B6.asm:947,$02:6,general_livestock_visual_context:6,cc_object_visual_pointer_setup:6,$02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2 $02:4@$B3B8D2,SourceLineRef_general_livestock_B3B8_code_banks_bank_84_data_banks_bank_B6,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3DC,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B3DC_code_banks_bank_83_code_banks_bank_84,context_source_address_not_final_gobj,medium,6,general_livestock,,,$B9B3DC:<data>:src/code_banks/bank_83.asm:4213 | $84B3DC:<data>:src/code_banks/bank_84.asm:7114 | $B9B3DC:Text_2F3_Town_SeedFlowerWhoSaid:src/data_banks/bank_B9.asm:984,$07:6,npc_family_event_visual_context:5 general_livestock_visual_context:1,cc_object_visual_pointer_setup:6,$07:2@$B3DBD5 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1 $07:3@$B3DCD1,SourceLineRef_general_livestock_B3DC_code_banks_bank_83_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3E3,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3E3_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,6,npc_family_or_romance,,,$81B3E3:<data>:src/code_banks/bank_81.asm:5300 | $B3B3E3:<data>:src/data_banks/bank_B3.asm:899,$08:6,npc_family_event_visual_context:6,cc_object_visual_pointer_setup:6,$08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F $08:3@$B3E31F,SourceLineRef_npc_family_or_romance_B3E3_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B5A1,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_B5A1_code_banks_bank_84,context_source_address_not_final_gobj,medium,6,cow_livestock,,,$84B5A1:<data>:src/code_banks/bank_84.asm:7362,$44:6,cow_livestock_visual_context:6,cc_object_visual_pointer_setup:6,$44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA $44:4@$B59FCA,SourceLineRef_cow_livestock_B5A1_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$2020,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_2020,visual_param_not_final_gobj,medium,5,general_livestock,,,,$00:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$00:24@$B38E09 $00:25@$B38E1E $00:26@$B38E33 $00:27@$B38E48 $00:28@$B38E5D,VisualParam_general_livestock_2020,visual_param_not_final_gobj,medium,unchanged_from_pass85
$8114,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_8114_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,5,dog_pet,,,$AD8114:<data>:src/data_banks/bank_AD.asm:23 | $B98114:<data>:src/data_banks/bank_B9.asm:24,$00:5,general_livestock_visual_context:4 dog_pet_visual_context:1,cc_object_visual_pointer_setup:4 cc_object_parameter_state_setup:1,$00:17@$B38D9B $00:18@$B38DB0 $00:24@$B38E09 $00:60@$B39057 $00:63@$B39069,SourceLineRef_dog_pet_8114_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$82E8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_82E8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,5,general_livestock,,,$8182E8:<data>:src/code_banks/bank_81.asm:402 | $B382E8:<data>:src/data_banks/bank_B3.asm:111 | $B982E8:<data>:src/data_banks/bank_B9.asm:58 | $BA82E8:<data>:src/data_banks/bank_BA.asm:55,$01:1 $04:1 $06:1 $07:1 $08:1,general_livestock_visual_context:3 npc_family_event_visual_context:2,cc_object_visual_pointer_setup:5,$01:6@$B3A5B1 $04:5@$B3CA98 $06:5@$B3D90E $07:5@$B3DF0F $08:5@$B3E4ED,SourceLineRef_general_livestock_82E8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8354,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8354_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,5,general_livestock,,,$818354:<data>:src/code_banks/bank_81.asm:450 | $AD8354:<data>:src/data_banks/bank_AD.asm:59 | $B88354:<data>:src/data_banks/bank_B8.asm:69,$01:1 $04:1 $06:1 $07:1 $08:1,general_livestock_visual_context:4 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:5,$01:2@$B39F3E $04:1@$B3C6AE $06:1@$B3D59D $07:1@$B3DB72 $08:1@$B3E1C9,SourceLineRef_general_livestock_8354_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$836C,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_836C_code_banks_bank_81,context_source_address_not_final_gobj,medium,5,cow_livestock,,,$81836C:Bank81_HeldItemMapActionBranch_81836C:src/code_banks/bank_81.asm:462,$00:1 $01:1 $04:1 $07:1 $08:1,general_livestock_visual_context:3 cow_livestock_visual_context:2,cc_object_visual_pointer_setup:5,$00:32@$B38E9C $01:7@$B3A727 $04:6@$B3CB60 $07:6@$B3DFCE $08:6@$B3E560,SourceLineRef_cow_livestock_836C_code_banks_bank_81,context_source_address_not_final_gobj,medium,unchanged_from_pass85
