group,label,entry,script_target,command_index,command_addr,opcode,relation,symbol,bit_or_value,extra
$01,EventScriptGroup_01,2,$B39F3E,43,$B39FFA,$1C,dialog_text_id,Text_$03CB,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,45,$B3A001,$15,read_condition,$7F1F1B,eq_$16,
$01,EventScriptGroup_01,2,$B39F3E,50,$B3A015,$15,read_condition,$7F1F1B,eq_$0B,
$01,EventScriptGroup_01,2,$B39F3E,51,$B3A01C,$15,read_condition,$7F1F1B,eq_$13,
$01,EventScriptGroup_01,2,$B39F3E,56,$B3A030,$1C,dialog_text_id,Text_$0205,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,58,$B3A037,$1C,dialog_text_id,Text_$03DC,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,60,$B3A03E,$1C,dialog_text_id,Text_$03DC,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,62,$B3A045,$15,read_condition,$7F1F1B,eq_$17,
$01,EventScriptGroup_01,2,$B39F3E,63,$B3A04C,$15,read_condition,$7F1F1B,eq_$1E,
$01,EventScriptGroup_01,2,$B39F3E,68,$B3A060,$1C,dialog_text_id,Text_$0405,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,70,$B3A067,$1C,dialog_text_id,Text_$03F0,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,73,$B3A074,$1C,dialog_text_id,Text_$01CF,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,77,$B3A07F,$1C,dialog_text_id,Text_$03CC,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,8,$B3A0A4,$1C,dialog_text_id,Text_$01C6,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,10,$B3A0AB,$16,read_condition,$80091E,between_$09_$0C,
$01,EventScriptGroup_01,3,$B3A086,11,$B3A0B3,$1C,dialog_text_id,Text_$0200,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,14,$B3A0BE,$1C,dialog_text_id,Text_$03B9,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,17,$B3A0C9,$14,read_condition,$7F1F66,bit_$02,
$01,EventScriptGroup_01,3,$B3A086,18,$B3A0D0,$15,read_condition,$7F1F19,eq_$00,
$01,EventScriptGroup_01,3,$B3A086,19,$B3A0D7,$15,read_condition,$7F1F19,eq_$01,
$01,EventScriptGroup_01,3,$B3A086,20,$B3A0DE,$15,read_condition,$7F1F19,eq_$02,
$01,EventScriptGroup_01,3,$B3A086,21,$B3A0E5,$15,read_condition,$7F1F19,eq_$03,
$01,EventScriptGroup_01,3,$B3A086,23,$B3A0EF,$15,read_condition,$7F1F1B,eq_$16,
$01,EventScriptGroup_01,3,$B3A086,24,$B3A0F6,$1C,dialog_text_id,Text_$0046,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,27,$B3A101,$1C,dialog_text_id,Text_$0047,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,30,$B3A10C,$1C,dialog_text_id,Text_$03C5,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,33,$B3A117,$1C,dialog_text_id,Text_$0203,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,36,$B3A122,$15,read_condition,$7F1F1B,eq_$17,
$01,EventScriptGroup_01,3,$B3A086,37,$B3A129,$15,read_condition,$7F1F1B,eq_$1E,
$01,EventScriptGroup_01,3,$B3A086,38,$B3A130,$1C,dialog_text_id,Text_$0047,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,41,$B3A13B,$1C,dialog_text_id,Text_$02AE,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,44,$B3A146,$1C,dialog_text_id,Text_$03EF,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,48,$B3A157,$1C,dialog_text_id,Text_$03C6,mode_$00,
$01,EventScriptGroup_01,4,$B3A162,5,$B3A170,$14,read_condition,$7F1F66,bit_$01,
$01,EventScriptGroup_01,5,$B3A438,3,$B3A441,$14,read_condition,$7F1F6C,bit_$02,
$01,EventScriptGroup_01,5,$B3A438,4,$B3A448,$14,read_condition,$7F1F6C,bit_$03,
$01,EventScriptGroup_01,8,$B3A81B,1,$B3A81C,$14,read_condition,$7F1F6A,bit_$09,
$01,EventScriptGroup_01,8,$B3A81B,2,$B3A823,$15,read_condition,$7F1F18,eq_$00,
$01,EventScriptGroup_01,8,$B3A81B,3,$B3A82A,$15,read_condition,$7F1F18,eq_$01,
$01,EventScriptGroup_01,8,$B3A81B,4,$B3A831,$15,read_condition,$7F1F18,eq_$03,
$01,EventScriptGroup_01,8,$B3A81B,5,$B3A838,$15,read_condition,$7F1F19,eq_$00,
$01,EventScriptGroup_01,8,$B3A81B,6,$B3A83F,$15,read_condition,$7F1F19,eq_$01,
$01,EventScriptGroup_01,8,$B3A81B,7,$B3A846,$15,read_condition,$7F1F19,eq_$03,
$01,EventScriptGroup_01,8,$B3A81B,9,$B3A850,$14,read_condition,$7F1F6C,bit_$04,
$01,EventScriptGroup_01,8,$B3A81B,15,$B3A86B,$14,read_condition,$7F1F66,bit_$07,
$01,EventScriptGroup_01,8,$B3A81B,16,$B3A872,$14,read_condition,$7F1F6A,bit_$0C,
$01,EventScriptGroup_01,8,$B3A81B,17,$B3A879,$14,read_condition,$7F1F6C,bit_$02,
$01,EventScriptGroup_01,8,$B3A81B,23,$B3A892,$16,read_condition,$7F1F1C,between_$11_$12,
$01,EventScriptGroup_01,8,$B3A81B,24,$B3A89A,$16,read_condition,$7F1F19,between_$01_$03,
$01,EventScriptGroup_01,11,$B3AE03,0,$B3AE03,$23,write_value_or_flag,$B44AAE,bit_$E3,outside_expected_ram_window
$02,EventScriptGroup_02,0,$B3AE23,1,$B3AE24,$15,read_condition,$7F1F19,eq_$02,
$02,EventScriptGroup_02,0,$B3AE23,13,$B3AE53,$14,read_condition,$7F1F66,bit_$01,
$02,EventScriptGroup_02,0,$B3AE23,15,$B3AE5E,$14,read_condition,$7F1F66,bit_$03,
