old_symbol,new_symbol,replacements
CODE_809E94,Bank80_MainLogicBranch_809E94,2
CODE_809F7D,Bank80_MainLogicBranch_809F7D,2
CODE_809F84,Bank80_MainLogicBranch_809F84,2
CODE_809F9A,Bank80_MainLogicBranch_809F9A,2
CODE_809FA6,Bank80_MainLogicBranch_809FA6,2
CODE_809FB3,Bank80_MainLogicBranch_809FB3,2
CODE_809FCA,Bank80_MainLogicBranch_809FCA,2
CODE_809FD7,Bank80_MainLogicBranch_809FD7,2
CODE_809FE3,Bank80_MainLogicBranch_809FE3,2
CODE_809FEF,Bank80_MainLogicBranch_809FEF,2
CODE_809FFB,Bank80_MainLogicBranch_809FFB,2
CODE_80A007,Bank80_MainLogicBranch_80A007,14
CODE_80A017,Bank80_MainLogicBranch_80A017,2
CODE_80A033,Bank80_MainLogicBranch_80A033,2
CODE_80A04A,Bank80_MainLogicBranch_80A04A,2
CODE_80A061,Bank80_MainLogicBranch_80A061,2
CODE_80A078,Bank80_MainLogicBranch_80A078,2
CODE_80A083,Bank80_MainLogicBranch_80A083,2
CODE_80A08A,Bank80_MainLogicBranch_80A08A,2
CODE_80A096,Bank80_MainLogicBranch_80A096,2
CODE_80A0FB,Bank80_MainLogicBranch_80A0FB,2
CODE_80A131,Bank80_MainLogicBranch_80A131,2
CODE_80A16C,Bank80_MainLogicBranch_80A16C,2
CODE_80A18C,Bank80_MainLogicBranch_80A18C,5
CODE_80A1B1,Bank80_MainLogicBranch_80A1B1,2
CODE_80A1BB,Bank80_MainLogicBranch_80A1BB,2
CODE_80A1CB,Bank80_MainLogicBranch_80A1CB,2
CODE_80A1DB,Bank80_MainLogicBranch_80A1DB,2
CODE_80A1EE,Bank80_MainLogicBranch_80A1EE,2
CODE_80A201,Bank80_MainLogicBranch_80A201,2
CODE_80A21A,Bank80_MainLogicBranch_80A21A,8
CODE_80A240,Bank80_MainLogicBranch_80A240,2
CODE_80A252,Bank80_MainLogicBranch_80A252,2
CODE_80A263,Bank80_MainLogicBranch_80A263,2
CODE_80A2FD,Bank80_MainLogicBranch_80A2FD,2
CODE_80A305,Bank80_MainLogicBranch_80A305,3
CODE_80A32C,Bank80_MainLogicBranch_80A32C,2
CODE_80A336,Bank80_MainLogicBranch_80A336,2
CODE_80A346,Bank80_MainLogicBranch_80A346,2
CODE_80A356,Bank80_MainLogicBranch_80A356,2
CODE_80A369,Bank80_MainLogicBranch_80A369,2
CODE_80A37C,Bank80_MainLogicBranch_80A37C,2
CODE_80A395,Bank80_MainLogicBranch_80A395,8
CODE_80A3B9,Bank80_MainLogicBranch_80A3B9,2
CODE_80A3CB,Bank80_MainLogicBranch_80A3CB,2
CODE_80A3DC,Bank80_MainLogicBranch_80A3DC,2
CODE_80A476,Bank80_MainLogicBranch_80A476,2
CODE_80A47E,Bank80_MainLogicBranch_80A47E,3
CODE_80A4A6,Bank80_MainLogicBranch_80A4A6,2
CODE_80A4B1,Bank80_MainLogicBranch_80A4B1,2
CODE_80A4C6,Bank80_MainLogicBranch_80A4C6,2
CODE_80A4DB,Bank80_MainLogicBranch_80A4DB,2
CODE_80A4F3,Bank80_MainLogicBranch_80A4F3,2
CODE_80A50B,Bank80_MainLogicBranch_80A50B,2
CODE_80A529,Bank80_MainLogicBranch_80A529,8
CODE_80A546,Bank80_MainLogicBranch_80A546,2
CODE_80A558,Bank80_MainLogicBranch_80A558,2
CODE_80A569,Bank80_MainLogicBranch_80A569,2
CODE_80A60C,Bank80_MainLogicBranch_80A60C,2
CODE_80A614,Bank80_MainLogicBranch_80A614,3
CODE_80A63C,Bank80_MainLogicBranch_80A63C,2
CODE_80A646,Bank80_MainLogicBranch_80A646,2
CODE_80A65B,Bank80_MainLogicBranch_80A65B,2
CODE_80A670,Bank80_MainLogicBranch_80A670,2
CODE_80A688,Bank80_MainLogicBranch_80A688,2
CODE_80A6A0,Bank80_MainLogicBranch_80A6A0,2
CODE_80A6BE,Bank80_MainLogicBranch_80A6BE,8
CODE_80A6DD,Bank80_MainLogicBranch_80A6DD,2
CODE_80A6EF,Bank80_MainLogicBranch_80A6EF,2
CODE_80A700,Bank80_MainLogicBranch_80A700,2
CODE_80A7A3,Bank80_MainLogicBranch_80A7A3,2
CODE_80A7AB,Bank80_MainLogicBranch_80A7AB,3
