old_label,new_label,file
CODE_83B16A,Bank83_NpcSpriteLogicBranch_83B16A,src/code_banks/bank_83.asm
CODE_83B175,Bank83_NpcSpriteLogicBranch_83B175,src/code_banks/bank_83.asm
CODE_83B17E,Bank83_NpcSpriteLogicBranch_83B17E,src/code_banks/bank_83.asm
CODE_83B189,Bank83_NpcSpriteLogicBranch_83B189,src/code_banks/bank_83.asm
CODE_83B192,Bank83_NpcSpriteLogicBranch_83B192,src/code_banks/bank_83.asm
CODE_83B19D,Bank83_NpcSpriteLogicBranch_83B19D,src/code_banks/bank_83.asm
CODE_83B1A6,Bank83_NpcSpriteLogicBranch_83B1A6,src/code_banks/bank_83.asm
CODE_83B1B1,Bank83_NpcSpriteLogicBranch_83B1B1,src/code_banks/bank_83.asm
CODE_83B1BA,Bank83_NpcSpriteLogicBranch_83B1BA,src/code_banks/bank_83.asm
CODE_83B1C1,Bank83_NpcSpriteLogicBranch_83B1C1,src/code_banks/bank_83.asm
CODE_83B1C8,Bank83_NpcSpriteLogicBranch_83B1C8,src/code_banks/bank_83.asm
CODE_83BD20,Bank83_NpcSpriteLogicBranch_83BD20,src/code_banks/bank_83.asm
CODE_83BD30,Bank83_NpcSpriteLogicBranch_83BD30,src/code_banks/bank_83.asm
CODE_83BD40,Bank83_NpcSpriteLogicBranch_83BD40,src/code_banks/bank_83.asm
CODE_83BDD6,Bank83_NpcSpriteLogicBranch_83BDD6,src/code_banks/bank_83.asm
CODE_83C034,Bank83_NpcSpriteLogicBranch_83C034,src/code_banks/bank_83.asm
CODE_83C044,Bank83_NpcSpriteLogicBranch_83C044,src/code_banks/bank_83.asm
CODE_83C05E,Bank83_NpcSpriteLogicBranch_83C05E,src/code_banks/bank_83.asm
CODE_83C084,Bank83_NpcSpriteLogicBranch_83C084,src/code_banks/bank_83.asm
CODE_83C092,Bank83_NpcSpriteLogicBranch_83C092,src/code_banks/bank_83.asm
CODE_83C0AB,Bank83_NpcSpriteLogicBranch_83C0AB,src/code_banks/bank_83.asm
